Formule_Tarifaire_Acheminement,start,end,cg,cc,b,b_hph,b_hch,b_hpb,b_hcb,c_hph,c_hch,c_hpb,c_hcb,c_hp,c_hc,c_base,cmdps,reference
BTINFCU4,2023-08-01,2024-11-01,15.48,19.92,9,,,,,6.67,4.56,1.43,0.88,0,0,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFCUST,2023-08-01,2024-11-01,15.48,19.92,9.96,,,,,0,0,0,0,0,0,4.37,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFMU4,2023-08-01,2024-11-01,15.48,19.92,10.56,,,,,6.12,4.24,1.39,0.87,0,0,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFMUDT,2023-08-01,2024-11-01,15.48,19.92,12.24,,,,,0,0,0,0,4.47,3.16,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFLU,2023-08-01,2024-11-01,15.48,19.92,81.24,,,,,0,0,0,0,0,0,1.1,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFCU4ACCAUTO,2023-08-01,2024-11-01,12.19,19.92,9,,,,,1.64,1.29,0.77,0.37,0,0,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFCU4ACCALLO,2023-08-01,2024-11-01,12.19,19.92,9,,,,,7.23,4.42,2.29,0.86,0,0,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFMU4ACCAUTO,2023-08-01,2024-11-01,12.19,19.92,10.68,,,,,1.64,1.29,0.77,0.37,0,0,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFMU4ACCALLO,2023-08-01,2024-11-01,12.19,19.92,10.68,,,,,6.6,4.23,2.22,0.86,0,0,0,,Délibération CRE n° 2023-137 du 31 mai 2023 (évolution grille HTA-BT au 1er août 2023) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047916180
BTINFCU4,2024-11-01,2025-02-01,16.2,20.88,9.36,,,,,6.96,4.76,1.48,0.92,0,0,0,,Délibération CRE n° 2024-122 du 26 juin 2024 (évolution grille HTA-BT reportée au 1er novembre 2024) — https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000050259478
